zone_id,id,item_template_id,x,y,x_offset,y_offset,charges,properties
0,0,405,7,14,64,128,0,0
0,1,454,7,14,128,64,0,0
0,2,191,4,15,0,64,1,0
0,3,266,11,16,128,128,0,0
0,4,266,13,16,128,64,0,0
0,5,460,11,16,64,128,0,0
0,6,206,13,16,64,64,0,0
0,7,273,12,16,128,64,1,0
0,8,36,17,10,64,64,0,0
0,9,61,16,7,64,128,0,0
0,10,126,17,9,64,64,0,0
0,11,220,14,7,128,64,2,2
0,12,10,14,7,128,0,0,2
0,13,118,7,33,128,64,6,2
0,14,25,7,33,64,128,0,2
0,15,2,7,33,64,64,18,2
0,16,220,7,33,64,64,1,2
0,17,203,19,28,64,128,0,0
0,18,246,18,27,128,64,1,0
0,19,210,8,30,128,128,0,0
0,20,263,8,29,0,128,0,0
0,21,203,8,28,128,0,0,2
0,22,207,8,28,128,0,0,2
0,23,274,7,28,128,0,1,0
0,24,5,14,32,192,64,1,0
0,25,5,13,31,128,128,1,0
0,26,5,14,30,192,128,1,0
0,27,208,14,32,0,64,0,0
0,28,209,15,30,64,128,0,0
0,29,416,33,9,192,0,0,0
0,30,452,34,9,192,64,0,0
0,31,417,32,18,64,64,0,0
0,32,1,27,4,128,192,7,2
0,33,34,27,4,64,192,0,2
0,34,211,28,5,0,0,0,0
0,35,204,27,4,64,192,0,2
0,36,209,40,12,128,64,0,2
0,37,194,40,12,64,64,0,2
0,38,273,30,2,128,64,1,0
0,39,453,41,12,128,128,0,2
0,40,209,41,12,64,128,0,2
0,41,5,41,12,64,128,1,2
0,42,118,57,7,128,192,6,2
0,43,164,57,7,64,192,0,2
0,44,255,56,8,64,128,1,0
0,45,413,55,12,128,64,0,0
0,46,413,56,12,0,0,0,0
0,47,272,56,8,128,64,0,0
0,48,222,61,9,64,64,1,2
0,49,451,61,9,64,64,1,2
0,50,61,61,9,128,0,0,2
0,51,220,61,9,64,64,1,2
0,52,277,59,12,0,64,0,0
0,53,277,59,12,128,64,0,0
0,54,203,46,18,128,64,0,0
0,55,1,56,17,64,128,10,2
0,56,453,56,17,128,64,0,2
0,57,251,56,17,128,128,1,2
0,58,194,42,28,0,64,0,0
0,59,209,40,27,128,128,0,2
0,60,195,40,27,64,128,0,2
0,61,145,40,27,128,128,0,2
0,62,25,56,28,128,128,0,2
0,63,1,56,28,64,128,9,2
0,64,61,56,28,128,128,0,2
0,65,345,56,28,128,64,0,2
0,66,255,41,40,128,64,1,0
0,67,210,42,40,64,64,0,0
0,68,276,42,35,192,0,0,0
0,69,276,42,35,64,0,0,0
0,70,262,55,43,64,64,1,0
0,71,262,55,43,192,64,1,0
0,72,199,56,43,64,128,0,0
0,73,419,58,41,64,64,0,0
0,74,408,56,43,128,64,0,0
0,75,60,60,43,64,128,0,0
0,76,60,59,42,64,128,0,0
0,77,60,59,44,128,0,0,0
0,78,263,57,58,128,64,0,0
0,79,459,58,58,64,0,0,0
0,80,220,34,56,64,128,1,0
0,81,217,34,56,128,64,1,0
0,82,216,34,56,192,128,1,0
0,83,10,47,56,64,0,0,2
0,84,465,47,56,64,64,0,2
0,85,6,47,56,128,0,1,2
0,86,191,25,60,128,64,1,2
0,87,410,25,53,0,0,0,0
0,88,263,25,53,64,128,0,0
0,89,283,41,52,128,192,0,0
0,90,283,42,52,64,64,0,0
0,91,283,42,52,192,128,0,0
0,92,283,43,52,128,64,0,0
0,93,263,33,35,64,64,0,0
0,94,206,33,35,192,128,0,0
0,95,413,35,35,64,128,0,0
0,96,413,35,36,0,0,0,0
0,97,413,35,36,64,128,0,0
0,98,5,17,48,128,64,1,0
0,99,5,18,47,128,64,1,0
0,100,5,17,46,192,128,1,0
0,101,203,4,45,0,0,0,0
0,102,203,4,45,64,128,0,0
0,103,207,3,45,64,64,0,0
0,104,220,1,47,192,64,1,2
0,105,221,1,47,192,128,1,2
0,106,118,3,40,64,64,6,0
0,107,110,3,40,128,128,1,0
0,108,210,2,42,0,64,0,2
0,109,255,2,42,0,64,1,2
0,110,147,2,46,0,64,0,0
1,0,263,45,10,0,0,0,0
1,1,263,45,10,128,0,0,0
1,2,263,45,10,0,128,0,0
1,3,263,45,10,128,128,0,0
1,4,411,43,15,64,0,0,0
1,5,453,56,32,128,128,0,0
1,6,453,57,31,128,64,0,0
1,7,465,54,25,128,64,0,0
1,8,419,54,25,128,192,0,0
1,9,195,54,26,64,128,0,0
1,10,195,54,26,128,64,0,0
1,11,411,33,24,0,192,0,0
1,12,5,38,36,128,128,1,0
1,13,5,39,37,64,64,1,0
1,14,191,41,46,64,128,1,2
1,15,191,41,46,64,128,1,2
1,16,191,41,46,64,128,1,2
1,17,192,44,48,0,128,1,0
1,18,277,36,54,0,64,0,0
1,19,277,36,54,64,192,0,0
1,20,413,37,53,64,128,0,2
1,21,413,37,53,128,64,0,2
1,22,413,37,53,128,128,0,2
1,23,413,37,54,64,0,0,0
1,24,267,50,56,128,64,1,2
1,25,267,50,56,128,64,1,2
1,26,119,50,56,64,64,1,3
1,27,263,59,53,64,0,0,0
1,28,263,60,53,64,0,0,0
1,29,263,50,49,0,128,0,0
1,30,410,50,49,64,0,0,0
1,31,402,60,54,64,64,0,0
1,32,2,56,59,192,128,32,3
1,33,10,56,59,192,128,0,2
1,34,62,56,59,192,64,0,3
1,35,147,61,59,0,64,0,1
1,36,197,52,49,128,128,0,0
1,37,266,52,49,64,64,0,0
1,38,460,52,49,64,0,0,0
1,39,61,57,52,64,64,0,0
1,40,190,57,52,128,64,1,0
1,41,286,53,54,128,0,0,0
1,42,202,31,38,128,128,0,0
1,43,202,33,38,128,128,0,0
1,44,202,35,38,64,64,0,0
1,45,419,35,38,64,128,0,0
1,46,447,31,38,64,64,0,0
1,47,267,31,47,64,128,1,0
1,48,267,31,47,64,64,1,0
1,49,272,31,47,128,128,0,0
1,50,272,22,41,64,0,0,2
1,51,270,22,38,128,0,1,2
1,52,457,22,41,128,0,0,2
1,53,458,25,38,0,0,0,0
1,54,204,22,47,0,64,0,0
1,55,60,20,46,128,192,0,0
1,56,60,22,47,128,64,0,0
1,57,118,24,56,64,128,6,1
1,58,261,26,60,64,64,1,1
1,59,278,29,60,128,64,0,0
1,60,280,29,60,64,64,0,0
1,61,280,29,60,64,128,0,0
1,62,211,27,55,0,0,0,0
1,63,211,26,56,64,0,0,0
1,64,199,23,57,64,64,0,0
1,65,418,23,57,128,192,0,0
1,66,273,23,57,128,128,1,0
1,67,126,24,56,128,64,0,1
1,68,110,11,60,64,128,2,3
1,69,95,11,60,128,128,6,2
1,70,205,10,54,128,64,0,0
1,71,260,10,54,64,128,0,0
1,72,1,10,52,64,192,25,3
1,73,25,10,52,128,192,0,2
1,74,346,10,52,128,192,0,3
1,75,220,10,52,128,192,1,3
1,76,205,8,48,64,0,0,0
1,77,205,8,48,192,128,0,0
1,78,401,8,47,128,64,0,0
1,79,401,9,48,128,64,0,0
1,80,34,1,48,192,128,0,2
1,81,36,1,48,192,64,0,2
1,82,181,1,48,192,128,0,3
1,83,231,1,48,192,64,1,3
1,84,215,3,58,128,64,1,1
1,85,215,3,59,128,64,1,1
1,86,216,3,58,128,192,1,1
1,87,202,3,59,64,0,0,0
1,88,447,3,59,64,192,0,0
1,89,470,3,60,128,64,0,0
1,90,400,5,35,0,128,0,2
1,91,270,5,35,64,64,1,2
1,92,261,5,35,0,64,1,3
1,93,35,5,35,64,64,0,2
1,94,25,4,42,64,128,0,0
1,95,25,4,39,128,64,0,0
1,96,196,6,42,128,0,0,0
1,97,401,6,43,64,64,0,0
1,98,401,7,39,64,64,0,0
1,99,205,7,39,128,128,0,0
1,100,1,3,30,128,0,7,3
1,101,90,3,30,128,0,1,3
1,102,110,3,30,64,0,1,3
1,103,409,8,30,64,64,0,0
1,104,411,28,11,64,0,0,0
1,105,211,27,9,192,128,0,0
1,106,211,28,10,64,0,0,0
1,107,199,21,9,128,128,0,0
1,108,419,21,10,128,0,0,0
1,109,262,27,6,128,64,1,3
1,110,262,27,6,128,128,1,3
1,111,262,27,6,128,128,1,3
1,112,255,21,10,64,128,1,1
1,113,255,33,6,128,64,1,0
1,114,457,33,7,128,128,0,0
1,115,213,33,6,64,192,0,0
1,116,223,33,7,128,0,1,0
1,117,255,35,13,64,128,1,0
1,118,222,35,14,64,0,1,0
1,119,279,35,14,64,128,0,0
1,120,210,30,16,0,192,0,0
1,121,7,30,17,64,64,1,0
1,122,8,3,8,128,128,3,2
1,123,277,15,6,0,192,0,0
1,124,277,13,7,64,192,0,0
1,125,221,3,3,64,128,1,2
1,126,192,5,3,192,0,1,0
1,127,37,1,4,192,128,0,2
1,128,35,1,4,192,64,0,2
1,129,8,1,4,192,128,2,2
1,130,205,55,47,192,128,0,0
1,131,251,56,48,0,0,1,0
1,132,448,13,24,64,128,0,0
1,133,448,14,25,64,128,0,0
2,0,193,50,61,64,64,0,0
2,1,404,50,61,128,128,0,0
2,2,404,50,61,128,64,0,0
2,3,402,50,61,0,128,0,0
2,4,274,44,59,128,64,1,0
2,5,274,45,59,128,64,1,0
2,6,274,45,59,0,64,1,0
2,7,205,20,60,64,128,0,0
2,8,205,22,60,128,128,0,0
2,9,205,40,50,0,128,0,0
2,10,251,42,49,192,128,1,0
2,11,251,4,39,192,192,1,0
2,12,410,3,41,64,64,0,0
2,13,263,3,41,192,128,0,0
2,14,251,27,3,128,192,1,0
2,15,454,26,7,0,128,0,0
2,16,410,8,51,64,0,0,0
2,17,263,8,51,0,128,0,0
2,18,215,10,58,64,128,1,0
2,19,216,10,58,64,0,1,0
2,20,203,4,55,64,128,0,0
2,21,207,10,57,64,128,0,0
2,22,119,10,57,128,64,1,1
2,23,459,17,40,0,128,0,0
2,24,205,17,40,64,64,0,0
2,25,247,17,40,128,128,1,0
2,26,1,17,36,64,192,6,2
2,27,25,17,36,64,192,0,2
2,28,25,17,36,64,192,0,2
2,29,147,17,38,0,0,0,1
2,30,413,27,45,128,192,0,0
2,31,413,27,45,128,64,0,0
2,32,413,27,45,0,0,0,0
2,33,199,27,44,192,64,0,0
2,34,199,27,42,192,0,0,0
2,35,202,27,42,128,128,0,0
2,36,409,26,40,64,64,0,0
2,37,5,24,40,64,128,1,2
2,38,5,24,40,128,64,1,2
2,39,5,28,42,0,128,1,0
2,40,255,24,44,0,64,1,1
2,41,210,24,44,192,64,0,0
2,42,7,24,44,64,128,1,1
2,43,457,24,44,128,128,0,0
2,44,413,16,33,128,64,0,0
2,45,413,15,29,64,128,0,0
2,46,203,14,27,128,64,0,0
2,47,203,16,31,64,64,0,0
2,48,220,25,38,128,128,1,2
2,49,273,24,38,64,64,1,0
2,50,275,23,36,0,64,0,0
2,51,275,23,50,64,0,0,0
2,52,447,24,38,128,128,0,0
2,53,216,26,38,64,64,1,1
2,54,217,26,38,128,64,1,0
2,55,262,33,42,64,64,6,2
2,56,9,33,42,64,128,1,2
